Postcode,Latitude,Longitude
BB2 7,53.7657,-2.52047
BB2 9,53.7437,-2.48479
BB3 0,53.7092,-2.47932
BB3 1,53.6994,-2.47406
BB3 2,53.6877,-2.46219
BB3 3,53.6969,-2.45043
BB3 9,53.695,-2.46812
BB4 0,53.7019,-2.28447
BB4 4,53.692,-2.32861
BB4 5,53.7075,-2.32421
BB4 6,53.6965,-2.30308
BB4 7,53.6968,-2.26753
BB4 8,53.7173,-2.28732
BB4 9,53.7062,-2.25
BB5 0,53.749,-2.37814
BB5 1,53.7539,-2.36872
BB5 2,53.7417,-2.35156
BB5 3,53.7414,-2.39278
BB5 4,53.7537,-2.39035
BB5 5,53.7733,-2.37626
BB5 6,53.7602,-2.35402
BB5 9,53.7529,-2.36399
BB6 7,53.7841,-2.40932
BB6 8,53.8074,-2.45464
BB6 9,53.8283,-2.40587
BB7 0,53.8743,-2.39331
BB7 1,53.8687,-2.38907
BB7 2,53.872,-2.39797
BB7 3,53.9069,-2.4465
BB7 4,53.9122,-2.33371
BB7 9,53.8328,-2.40337
BB8 0,53.8566,-2.1672
BB8 5,53.9147,-2.18795
BB8 6,53.9144,-2.15687
BB8 7,53.8679,-2.15642
BB8 8,53.8485,-2.1622
BB8 9,53.8579,-2.17663
BB9 0,53.8298,-2.20995
BB9 4,53.8351,-2.21724
BB9 5,53.824,-2.23213
BB9 6,53.8533,-2.22272
BB9 7,53.8376,-2.21783
BB9 8,53.8439,-2.20706
BB9 9,53.836,-2.20688
BB10 1,53.8029,-2.237
BB10 2,53.81,-2.22054
BB10 3,53.7987,-2.20979
BB10 4,53.7824,-2.21726
BB11 1,53.7896,-2.24587
BB11 2,53.7842,-2.24408
BB11 3,53.7818,-2.23476
BB11 4,53.7846,-2.25731
BB11 5,53.7795,-2.2746
BB11 9,53.7901,-2.2418
BB12 0,53.7961,-2.2568
BB12 6,53.7919,-2.27981
BB12 7,53.7989,-2.32425
BB12 8,53.7999,-2.3022
BB12 9,53.8315,-2.27163
BB18 5,53.915,-2.18775
BB18 6,53.9148,-2.15829
BB18 9,53.92,-2.18256
BB94 0,53.9155,-2.14015
BD1 1,53.7944,-1.75265
BD1 2,53.7953,-1.7599
BD1 3,53.7977,-1.75727
BD1 4,53.7978,-1.75187
BD1 5,53.7959,-1.74897
BD1 9,53.8009,-1.75547
BD2 1,53.8175,-1.75091
BD2 2,53.8191,-1.72867
BD2 3,53.811,-1.72552
BD2 4,53.8108,-1.73824
BD3 0,53.8017,-1.74141
BD3 7,53.8014,-1.7173
BD3 8,53.7954,-1.72041
BD3 9,53.7945,-1.73706
BD4 0,53.774,-1.70429
BD4 6,53.765,-1.72521
BD4 7,53.7824,-1.74083
BD4 8,53.7866,-1.72024
BD4 9,53.7751,-1.71896
BD5 0,53.7859,-1.75864
BD5 5,53.7819,-1.75622
BD5 7,53.7801,-1.75686
BD5 8,53.7733,-1.75176
BD5 9,53.7761,-1.76825
BD6 1,53.766,-1.76867
BD6 2,53.7594,-1.78948
BD6 3,53.7685,-1.79528
BD7 1,53.79,-1.76669
BD7 2,53.7875,-1.7837
BD7 3,53.7819,-1.7787
BD7 4,53.7765,-1.7935
BD8 0,53.7976,-1.80331
BD8 7,53.8051,-1.76431
BD8 8,53.8019,-1.77121
BD8 9,53.8007,-1.78457
BD9 4,53.8129,-1.77564
BD9 5,53.8097,-1.78791
BD9 6,53.8116,-1.8021
BD10 0,53.8307,-1.71806
BD10 8,53.8307,-1.73378
BD10 9,53.8311,-1.7265
BD11 1,53.7519,-1.66405
BD11 2,53.7482,-1.69226
BD12 0,53.7562,-1.76299
BD12 7,53.75,-1.7423
BD12 8,53.7426,-1.77069
BD12 9,53.7407,-1.7636
BD13 1,53.7725,-1.8398
BD13 2,53.7671,-1.84658
BD13 3,53.7926,-1.84782
BD13 4,53.8003,-1.89056
BD13 5,53.8236,-1.8923
BD13 9,53.7987,-1.78159
BD14 6,53.7833,-1.81732
BD15 0,53.8201,-1.85939
BD15 7,53.8011,-1.82305
BD15 8,53.8022,-1.83061
BD15 9,53.8108,-1.8314
BD16 1,53.8374,-1.8406
BD16 2,53.8517,-1.83797
BD16 3,53.8576,-1.8211
BD16 4,53.8515,-1.83066
BD16 9,53.8245,-1.795
BD17 5,53.8453,-1.77904
BD17 6,53.8485,-1.76244
BD17 7,53.8412,-1.76577
BD18 1,53.8309,-1.75865
BD18 2,53.8289,-1.76904
BD18 3,53.8317,-1.78131
BD18 4,53.8336,-1.79519
BD18 9,53.8162,-1.76452
BD19 3,53.7265,-1.71765
BD19 4,53.7303,-1.69664
BD19 5,53.7214,-1.71433
BD19 6,53.7255,-1.74033
BD19 9,53.7231,-1.7137
BD20 0,53.9089,-1.93396
BD20 5,53.876,-1.87516
BD20 6,53.8842,-1.93226
BD20 7,53.8935,-1.98415
BD20 8,53.9033,-2.00475
BD20 9,53.9194,-1.96333
BD21 1,53.8605,-1.9163
BD21 2,53.8684,-1.9168
BD21 3,53.8696,-1.90629
BD21 4,53.867,-1.89448
BD21 5,53.8555,-1.9115
BD21 9,53.8651,-1.91423
BD22 0,53.8634,-1.99798
BD22 6,53.8644,-1.92879
BD22 7,53.849,-1.93986
BD22 8,53.8328,-1.94744
BD22 9,53.8235,-1.94342
BD23 0,53.9577,-2.02589
BD23 1,53.9618,-2.02155
BD23 2,53.9561,-2.01555
BD23 3,53.9637,-2.09335
BD23 4,54.0112,-2.21522
BD23 5,54.0875,-2.02797
BD23 6,53.9922,-1.96863
BD23 9,53.9582,-2.02531
BD24 0,54.0875,-2.29763
BD24 4,54.0646,-2.28209
BD24 5,54.0646,-2.2821
BD24 9,54.072,-2.27118
BD97 1,53.8267,-1.79672
BD98 1,,
BD98 5,,
BD98 8,53.817,-1.76544
BD99 2,53.7923,-1.77289
BD99 4,53.7961,-1.75007
BD99 9,53.7937,-1.76444
BH1 1,50.7239,-1.87186
BH1 2,50.7213,-1.8726
